ccn,name,city,state,county,hospital_type,ownership,emergency_services,cms_rating,lat,lon,health_system,health_system_id,system_confidence,taxable_wage_per_hour,benefit_load_per_hour,loaded_staff_cost_per_hour,all_in_agency_per_hour,all_in_agency_per_hour_pre_overlay,msp_overlay_per_hour,msp_overlay_source,agency_premium_per_hour,estimated_rn_need_fte,contract_labor_dollars,contract_labor_intensity,operating_margin,hcris_total_fte,cbsa_code,cbsa_title,rural_flag,wage_source,wage_confidence,data_source,confidence
010001,SOUTHEAST HEALTH MEDICAL CENTER,DOTHAN,AL,HOUSTON,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,31.140459,-85.409097,Southeast Health AL,southeast_health_al,0.0,56.85,7.96,69.16,69.63,69.63,0.0,,0.47,658.3,20984366.0,0.0965,0.2128,2438.0,20020.0,"Dothan, AL",False,hcris_blended_x_multiplier,0.7,hcris_nmrc_agency_per_hospital,0.92
010005,MARSHALL MEDICAL CENTERS,BOAZ,AL,MARSHALL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,34.196159,-86.196898,Independent / Unknown,independent,0.0,36.8,6.26,45.88,86.13,86.13,0.0,,40.25,367.5,,,0.1479,1361.0,10700.0,"Albertville, AL",True,bls_oews_state_placeholder,0.4,hcris_derived_with_state_agency,0.85
010006,NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,LAUDERDALE,Acute Care Hospitals,Proprietary,Yes,2,34.825167,-87.659843,Lifepoint Health,lifepoint_health,0.0,36.8,3.75,43.37,86.13,86.13,0.0,,42.76,339.5,,,0.3534,1258.0,22520.0,"Florence-Muscle Shoals, AL",False,bls_oews_state_placeholder,0.4,hcris_derived_with_state_agency,0.85
010007,MIZELL MEMORIAL HOSPITAL,OPP,AL,COVINGTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,31.277952,-86.255483,Independent / Unknown,independent,0.0,36.93,4.0,43.76,46.2,46.2,0.0,,2.44,45.1,17525.0,0.0015,-0.1087,167.0,,Rural / Nonmetro,True,hcris_blended_x_multiplier,0.7,hcris_nmrc_agency_per_hospital,0.92
010011,ST. VINCENT'S EAST,BIRMINGHAM,AL,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,33.615287,-86.645447,Ascension,ascension,0.0,36.3,6.26,45.34,86.13,86.13,0.0,,40.79,257.9,4723398.0,0.0538,-0.031,955.0,13820.0,"Birmingham, AL",False,bls_oews_msa,0.9,hcris_derived_with_state_agency,0.85
010012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,DE KALB,Acute Care Hospitals,Proprietary,Yes,2,34.476011,-85.790143,Quorum Health,quorum_health,0.0,44.44,6.03,53.87,56.0,56.0,0.0,,2.13,79.9,90495.0,0.0045,-0.1001,296.0,22840.0,"Fort Payne, AL",True,hcris_blended_x_multiplier,0.7,hcris_nmrc_agency_per_hospital,0.92
010016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,SHELBY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,33.221352,-86.787652,Tenet Healthcare,tenet_healthcare,0.0,36.3,6.18,45.26,70.31,70.31,0.0,,25.05,143.1,2142284.0,0.0399,0.0503,530.0,13820.0,"Birmingham, AL",False,bls_oews_msa,0.9,hcris_nmrc_agency_per_hospital,0.92
010018,UAB CALLAHAN EYE HOSPITAL AUTHORITY,BIRMINGHAM,AL,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,33.509151,-86.801398,UAB Health System,uab_health_system,0.0,36.3,4.53,43.61,86.13,86.13,0.0,,42.52,74.1,,,0.4667,274.0,13820.0,"Birmingham, AL",False,bls_oews_msa,0.9,hcris_derived_with_state_agency,0.85
010019,HELEN KELLER HOSPITAL,SHEFFIELD,AL,COLBERT,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,34.758412,-87.696542,Huntsville Hospital Health System,huntsville_hospital_health_system,0.0,54.03,10.91,69.07,46.08,46.08,0.0,,-22.99,188.5,217481.0,0.004,-0.0994,698.0,22520.0,"Florence-Muscle Shoals, AL",False,hcris_blended_x_multiplier,0.7,hcris_nmrc_agency_per_hospital,0.92
010021,DALE MEDICAL CENTER,OZARK,AL,DALE,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Not Available,31.467469,-85.61703,Independent / Unknown,independent,0.0,36.25,6.72,45.74,79.07,79.07,0.0,,33.33,73.5,784964.0,0.0462,0.0177,272.0,37120.0,"Ozark, AL",True,hcris_blended_x_multiplier,0.7,hcris_nmrc_agency_per_hospital,0.92
